
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
STM32F405RG                      DD442                            152   3   1   1   8 32    32 0 V_MPU.3             8298497
STM32F405RG                      DD442                            152   3   1   1   9 19    19 0 V_MPU.3             8298497
STM32F405RG                      DD442                            152   3   1   1  10 13    13 0 V_MPU.3             8298497
STM32F405RG                      DD541                            151   1   1   1   1 60    60 0 BOOT.4              4833281
STM32F405RG                      DD541                            151   1   2   2   1 7      7 0 NRST.4              5914625
STM32F405RG                      DD541                            151   1   3   3   1 14    14 0 H1.4                7933953
STM32F405RG                      DD541                            151   1   4   4   1 15    15 0 H2.4                7921665
STM32F405RG                      DD541                            151   1   5   5   1 16    16 0 H3.4                7925761
STM32F405RG                      DD541                            151   1   6   6   1 17    17 0                        0
STM32F405RG                      DD541                            151   1   7   7   1 20    20 0 XSIG012588          7634945
STM32F405RG                      DD541                            151   1   8   8   1 21    21 0 PA4.5               7938049
STM32F405RG                      DD541                            151   1   9   9   1 22    22 0                        0
STM32F405RG                      DD541                            151   1  10  10   1 23    23 0 T8_CH1N.4           7942145
STM32F405RG                      DD541                            151   1  11  11   1 41    41 0 CAN1_S.4            7962625
STM32F405RG                      DD541                            151   1  12  12   1 42    42 0 CAN2_S.4            7958529
STM32F405RG                      DD541                            151   1  13  13   1 43    43 0 CAN1.4              6635521
STM32F405RG                      DD541                            151   1  14  14   1 44    44 0 CAN1_RX.4           6631425
STM32F405RG                      DD541                            151   1  15  15   1 45    45 0 CAN1_TX.4           6627329
STM32F405RG                      DD541                            151   1  16  16   1 46    46 0 SWDIO.4             5910529
STM32F405RG                      DD541                            151   1  17  17   1 49    49 0 SWCLK.4             5906433
STM32F405RG                      DD541                            151   1  18  18   1 50    50 0 CAN_EN.4            8343553
STM32F405RG                      DD541                            151   1  19  19   1 26    26 0                        0
STM32F405RG                      DD541                            151   1  20  20   1 27    27 0                        0
